"АВТОВСКАЯ УЛ., д.21","421\229","419\211","0\-8"
"ТРАКТОРНАЯ УЛ., д.10","67\65","116\83","73\28"
"ТРАКТОРНАЯ УЛ., д.11","80\40","98\51","23\28"
"ТРАКТОРНАЯ УЛ., д.12","113\174","150\169","33\-3"
"ТРАКТОРНАЯ УЛ., д.13","85\78","243\155","186\99"
"ТРАКТОРНАЯ УЛ., д.15","216\106","273\125","26\18"
"ТРАМВАЙНЫЙ ПР., д.5","112\177","183\207","63\17"
"ТРАМВАЙНЫЙ ПР., д.7, корп.1","109\97","164\122","50\26"
"ТРАМВАЙНЫЙ ПР., д.7, корп.2","503\243","494\252","-2\4"
"ТРАМВАЙНЫЙ ПР., д.9, корп.1","155\208","319\266","106\28"
"ТРАМВАЙНЫЙ ПР., д.9, корп.2","206\109","203\98","-1\-10"
"ТРАМВАЙНЫЙ ПР., д.11, корп.1","2\2","21\11","950\450"
"ТРАМВАЙНЫЙ ПР., д.11, корп.2","83\82","122\88","47\7"
"ТРАМВАЙНЫЙ ПР., д.11, корп.3","189\62","217\62","15\0"
"ТРАМВАЙНЫЙ ПР., д.11, корп.6","731\311","854\382","17\23"
"ТРАМВАЙНЫЙ ПР., д.13, корп.1","32\12","34\10","6\-17"
"ТРАМВАЙНЫЙ ПР., д.13, корп.2","38\58","48\46","26\-21"
"ТРАМВАЙНЫЙ ПР., д.13, корп.3","98\45","75\42","-23\-7"
"ТРАМВАЙНЫЙ ПР., д.15, корп.1","109\143","153\158","40\10"
"ТРАМВАЙНЫЙ ПР., д.15, корп.2","103\66","120\66","17\0"
"ТРАМВАЙНЫЙ ПР., д.15, корп.3","86\98","133\116","55\18"
"ТРАМВАЙНЫЙ ПР., д.17","56\55","69\61","23\11"
"ТРЕФОЛЕВА УЛ., д.3","1189\421","1156\394","-3\-6"
"ТРЕФОЛЕВА УЛ., д.5","173\146","183\149","6\2"
"ТРЕФОЛЕВА УЛ., д.11","86\50","114\61","33\22"
"ТРЕФОЛЕВА УЛ., д.15","826\459","966\538","17\17"
"ТРЕФОЛЕВА УЛ., д.16","118\151","163\154","38\2"
"ТРЕФОЛЕВА УЛ., д.22/25","2108\951","1994\877","-5\-8"
"ТРЕФОЛЕВА УЛ., д.26","100\57","118\59","18\4"
"ТУРБИННАЯ УЛ., д.11","172\87","234\113","36\30"
"ТУРГЕНЕВСКИЙ ПЕР., д.3","189\94","169\86","-11\-9"
"ТУРГЕНЕВСКИЙ ПЕР., д.5","56\52","85\62","52\19"
"УРЮПИН ПЕР., д.5","217\204","186\197","-14\-3"
"ШВЕЦОВА УЛ., д.6","109\56","147\35","35\-38"
"ШВЕЦОВА УЛ., д.10","649\570","545\567","-16\-1"
"ШВЕЦОВА УЛ., д.11","439\201","637\200","45\0"
"ШВЕЦОВА УЛ., д.17","509\241","494\234","-3\-3"
"ШВЕЦОВА УЛ., д.19","729\314","705\303","-3\-4"
"ШОТЛАНДСКАЯ УЛ., д.3","1426\468","1322\457","-7\-2"
